pfam_number	Name	Description	Long_description	enzyme_annotation
PF13434	K_oxygenase	L-lysine 6-monooxygenase (NADPH-requiring)	This is family of Rossmann fold oxidoreductases that catalyses the NADPH-dependent hydroxylation of lysine at the N6 position, EC:1.14.13.59.	y
PF13438	DUF4113	Domain of unknown function (DUF4113)	Although the function is not known this domain occurs almost invariably at the very C-terminus of the IMS family DNA-polymerase repair proteins, IMS, Pfam:PF00817.	u
PF13442	Cytochrome_CBB3	Cytochrome C oxidase, cbb3-type, subunit III 		m
PF13449	Phytase-like	Esterase-like activity of phytase	This is a repeated domain that carries several highly conserved Glu and Asp residues indicating the likelihood that the domain incorporates the enzymic activity of the PLC-like phospho-diesterase part of the proteins. 	y
PF13454	NAD_binding_9	FAD-NAD(P)-binding		u
PF13460	NAD_binding_10	NAD(P)H-binding 		u
PF13471	Transglut_core3	Transglutaminase-like superfamily	This family includes uncharacterised proteins that are related to the transglutaminase like domain Pfam:PF01841.	y
PF13472	Lipase_GDSL_2	GDSL-like Lipase/Acylhydrolase family	This family of presumed lipases and related enzymes are similar to Pfam:PF00657.	y
PF13473	Cupredoxin_1	Cupredoxin-like domain	The cupredoxin-like fold consists of a beta-sandwich with 7 strands in 2 beta-sheets, which is arranged in a Greek-key beta-barrel.	y
PF13474	SnoaL_3	SnoaL-like domain	This family contains a large number of proteins that share the SnoaL fold.	u
PF13480	Acetyltransf_6	Acetyltransferase (GNAT) domain	This family contains proteins with N-acetyltransferase functions.	y
PF13486	Dehalogenase	Reductive dehalogenase subunit	This family is most frequently associated with a Fer4 iron-sulfur cluster towards the C-terminal region.	y
PF13506	Glyco_transf_21	Glycosyl transferase family 21	This is a family of ceramide beta-glucosyltransferases - EC:2.4.1.80.	s
PF13508	Acetyltransf_7	Acetyltransferase (GNAT) domain	This domain catalyses N-acetyltransferase reactions.	y
PF13521	AAA_28	AAA domain		m
PF13529	Peptidase_C39_2	Peptidase_C39 like family		m
PF13532	2OG-FeII_Oxy_2	2OG-Fe(II) oxygenase superfamily		y
PF13539	Peptidase_M15_4	D-alanyl-D-alanine carboxypeptidase	This family resembles VanY, Pfam:PF02557, which is part of the peptidase M15 family.	m
PF13546	DDE_5	DDE superfamily endonuclease	This family of proteins are related to Pfam:PF00665 and are probably endonucleases of the DDE superfamily. Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction.	m
PF13577	SnoaL_4	SnoaL-like domain	This family contains a large number of proteins that share the SnoaL fold.	u
PF13580	SIS_2	SIS domain	SIS (Sugar ISomerase) domains are found in many phosphosugar isomerases and phosphosugar binding proteins. SIS domains are also found in proteins that regulate the expression of genes involved in synthesis of phosphosugars.	y
PF13581	HATPase_c_2	Histidine kinase-like ATPase domain		m
PF13586	DDE_Tnp_1_2	Transposase DDE domain	Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis.	m
PF13597	NRDD	Anaerobic ribonucleoside-triphosphate reductase		y
PF13599	Pentapeptide_4	Pentapeptide repeats (9 copies)		m
PF13610	DDE_Tnp_IS240	DDE domain	This DDE domain is found in a wide variety of transposases including those found in IS240, IS26, IS6100 and IS26.	m
PF13612	DDE_Tnp_1_3	Transposase DDE domain	Transposase proteins are necessary for efficient DNA transposition.  This domain is a member of the DDE superfamily, which contains three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction [3].	m
PF13614	AAA_31	AAA domain	This family includes a wide variety of AAA domains including some that have lost essential nucleotide binding residues in the P-loop.	m
PF13621	Cupin_8	Cupin-like domain	This cupin like domain shares similarity to the JmjC domain.	y
PF13625	Helicase_C_3	Helicase conserved C-terminal domain	This domain family is found in a wide variety of helicases and helicase-related proteins.	m
PF13640	2OG-FeII_Oxy_3	2OG-Fe(II) oxygenase superfamily	This family contains members of the 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily [1].	y
PF13649	Methyltransf_25	Methyltransferase domain	This family appears to be a methyltransferase domain.	y
PF13664	DUF4149	Domain of unknown function (DUF4149)		u
PF13665	DUF4150	Domain of unknown function (DUF4150)		u
PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	y
PF13679	Methyltransf_32	Methyltransferase domain	This family appears to be a methyltransferase domain.	u
PF13680	DUF4152	Protein of unknown function (DUF4152)	This family of proteins is functionally uncharacterised. This family of proteins is found in archaea. Proteins in this family are approximately 230 amino acids in length. The structure of PF2046 from pyrococcus furiosus has been solved.  It shows an RNaseH like fold that conserves critical catalytic residues [1]. This suggests that these proteins may cleave nucleic acid.	u
PF13683	rve_3	Integrase core domain		m
PF13685	Fe-ADH_2	Iron-containing alcohol dehydrogenase		y
PF13686	DrsE_2	DsrE/DsrF/DrsH-like family	DsrE is a small soluble protein involved in intracellular sulfur  reduction [1]. The family also includes YrkE proteins.	y
PF13698	DUF4156	Domain of unknown function (DUF4156)	The function of this family is unknown but members are annotated as putative lipoprotein outer membrane proteins.	u
PF13701	DDE_Tnp_1_4	Transposase DDE domain group 1	Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis.	m
PF13718	GNAT_acetyltr_2	GNAT acetyltransferase 2	This domain has N-acetyltransferase activity [1,2]. It has a GCN5-related N-acetyltransferase (GNAT) fold [2].	y
PF13720	Acetyltransf_11	Udp N-acetylglucosamine O-acyltransferase; Domain 2	This is domain 2, or the C-terminal domain, of Udp N-acetylglucosamine O-acyltransferase.  This enzyme is a zinc-dependent enzyme that catalyses the deacetylation of UDP-3-O-((R)-3-hydroxymyristoyl)-N-acetylglucosamine to form UDP-3-O-(R-hydroxymyristoyl)glucosamine and acetate.	y
PF13723	Ketoacyl-synt_2	Beta-ketoacyl synthase, N-terminal domain		y
PF13735	tRNA_NucTran2_2	tRNA nucleotidyltransferase domain 2 putative		y
PF13751	DDE_Tnp_1_6	Transposase DDE domain	Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis.	y
PF13759	2OG-FeII_Oxy_5	Putative 2OG-Fe(II) oxygenase	This family has structural similarity to the 2OG-Fe(II) oxygenase superfamily.	y
PF13764	E3_UbLigase_R4	E3 ubiquitin-protein ligase UBR4	This is a family of E3 ubiquitin ligase enzymes.	y
PF13787	HXXEE	Protein of unknown function with HXXEE motif	This domain contains an HXXEE motif, another conserved histidine and a YXPG motif. Its function is unknown.	u
PF13788	DUF4180	Domain of unknown function (DUF4180)		u
PF13793	Pribosyltran_N	N-terminal domain of ribose phosphate pyrophosphokinase	This family is frequently found N-terminal to the Pribosyltran, Pfam:PF00156.	y
PF13810	DUF4185	Domain of unknown function (DUF4185)		u
PF13813	MBOAT_2	Membrane bound O-acyl transferase family		y
PF13816	Dehydratase_hem	Haem-containing dehydratase	This family includes aldoxime dehydratase, EC:4.99.1.5. This is a haem-containing enzyme, which catalyses the dehydration of aldoximes to their corresponding nitrile [1]. It also includes phenylacetaldoxime dehydratase, EC:4.99.1.7. This haem-containing enzyme catalyses the dehydration of Z-phenylacetaldoxime to phenylacetonitrile [2]. The enzyme forms an elliptic beta barrel, composed of eight beta-strands, flanked by alpha-helices [3].	y
PF13826	DUF4188	Domain of unknown function (DUF4188)		u
PF13834	DUF4193	Domain of unknown function (DUF4193)	This domain of unknown function contains four conserved cysteines and a conserved histidine, including a CXXXXH motif.	u
PF13835	DUF4194	Domain of unknown function (DUF4194)		u
PF13844	Glyco_transf_41	Glycosyl transferase family 41	This family of glycosyltransferases includes O-linked beta-N-acetylglucosamine (O-GlcNAc) transferase, an enzyme which catalyses the addition of O-GlcNAc to serine and threonine residues [1,2]. In addition to its function as an O-GlcNAc transferase, human OGT, Swiss:O15294, also appears to proteolytically cleave the epigenetic cell-cycle regulator HCF-1 [3].	s
PF13847	Methyltransf_31	Methyltransferase domain	This family appears to have methyltransferase activity.	y
PF13911	AhpC-TSA_2	AhpC/TSA antioxidant enzyme	This family contains proteins related to alkyl hydro-peroxide reductase (AhpC) and thiol specific antioxidant (TSA).	y
PF13995	YebF	YebF-like protein	The YebF-like protein family appears to be a group of colicin immunity proteins. As well as YebF the family includes cmi, the colicin M immunity protein [1]. This domain family is found in bacteria, and is approximately 80 amino acids in length. The alignment contains two conserved cysteine residues that form a disulphide bond in the solved structure [3].	u
PF14010	PEPcase_2	Phosphoenolpyruvate carboxylase	This family of phosphoenolpyruvate carboxylases is based on seqeunces not picked up by the model for PEPcase, PF00311. Most of the family members are from Archaea.	y
PF14016	DUF4232	Protein of unknown function (DUF4232)	This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are typically between 177 and 242 amino acids in length. Many members of this family are lipoproteins.	u
PF14027	Questin_oxidase	Questin oxidase-like	This family consists of oxidoreductases involved in the synthesis of different polyketides and derivatives. Questin oxidase GedK from Aspergillus terreus catalyzes the ring cleavage of the anthraquinone questin to form benzophenone desmethylsulochrin [1]. It is part of the gene cluster that mediates the biosynthesis of geodin, an intermediate in the biosynthesis of other natural products [2]. MdpL from Emericella nidulans is part of the gene cluster that mediates the biosynthesis of monodictyphenone [3].	u
